Timestamp,Timestamp (ESP32)
2025-10-10 05:44:59,2025-10-10 05:44:59
2025-10-10 05:45:04,2025-10-10 05:45:04
2025-10-10 05:45:09,2025-10-10 05:45:09
2025-10-10 05:45:14,2025-10-10 05:45:14
2025-10-10 05:45:19,2025-10-10 05:45:19
2025-10-10 05:45:24,2025-10-10 05:45:24
2025-10-10 05:45:30,2025-10-10 05:45:29
2025-10-10 05:45:35,2025-10-10 05:45:35
2025-10-10 05:45:40,2025-10-10 05:45:40
2025-10-10 05:45:45,2025-10-10 05:45:45
2025-10-10 05:45:50,2025-10-10 05:45:50
2025-10-10 05:45:55,2025-10-10 05:45:55
2025-10-10 05:46:00,2025-10-10 05:46:00
2025-10-10 05:46:05,2025-10-10 05:46:05
2025-10-10 05:46:10,2025-10-10 05:46:10
2025-10-10 05:46:15,2025-10-10 05:46:15
2025-10-10 05:46:20,2025-10-10 05:46:20
2025-10-10 05:46:26,2025-10-10 05:46:25
2025-10-10 05:46:31,2025-10-10 05:46:31
2025-10-10 05:46:36,2025-10-10 05:46:36
2025-10-10 05:46:41,2025-10-10 05:46:41
2025-10-10 05:46:46,2025-10-10 05:46:46
2025-10-10 05:46:51,2025-10-10 05:46:51
2025-10-10 05:46:56,2025-10-10 05:46:56
2025-10-10 05:47:01,2025-10-10 05:47:01
2025-10-10 05:47:06,2025-10-10 05:47:06
2025-10-10 05:47:11,2025-10-10 05:47:11
2025-10-10 05:47:16,2025-10-10 05:47:16
2025-10-10 05:47:22,2025-10-10 05:47:21
2025-10-10 05:47:27,2025-10-10 05:47:26
2025-10-10 05:47:32,2025-10-10 05:47:32
2025-10-10 05:47:37,2025-10-10 05:47:37
2025-10-10 05:47:42,2025-10-10 05:47:42
2025-10-10 05:47:47,2025-10-10 05:47:47
2025-10-10 05:47:52,2025-10-10 05:47:52
2025-10-10 05:47:57,2025-10-10 05:47:57
2025-10-10 05:48:02,2025-10-10 05:48:02
2025-10-10 05:48:07,2025-10-10 05:48:07
2025-10-10 05:48:12,2025-10-10 05:48:12
2025-10-10 05:48:17,2025-10-10 05:48:17
2025-10-10 05:48:23,2025-10-10 05:48:22
2025-10-10 05:48:28,2025-10-10 05:48:28
2025-10-10 05:48:33,2025-10-10 05:48:33
2025-10-10 05:48:38,2025-10-10 05:48:38
2025-10-10 05:48:43,2025-10-10 05:48:43
2025-10-10 05:48:48,2025-10-10 05:48:48
